# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     0.02%  GC Thread#0      libjvm.so           [.] 0x00000000007856a3
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bdba
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b5ef
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000a43e60
     0.02%  GC Thread#1      libjvm.so           [.] 0x00000000007851d4
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000736747
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bf5e
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007852bc
     0.02%  G1 Conc#0        libjvm.so           [.] 0x00000000007502c9
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000785712
     0.02%  java             libjvm.so           [.] 0x00000000005b9fee
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bae3
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60957096
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786f4e
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60965537
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786ede
     0.02%  java             libjvm.so           [.] 0x0000000000d147c8
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b965
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4a2
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5daad
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786f5b
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fb12
     0.02%  C2 CompilerThre  libc-2.30.so        [.] __memset_avx2_unaligned_erms
     0.02%  GC Thread#3      libjvm.so           [.] 0x00000000007853fa
     0.02%  G1 Refine#1      libjvm.so           [.] 0x000000000080ecc1
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817bb7
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c68429ec5
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c609654c0
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e99
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819e97
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000006f31b0
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1dca2
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d248
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bccd
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44f30
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000792c16
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e2f
     0.02%  G1 Refine#0      libjvm.so           [.] 0x000000000079309f
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000787060
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fd60
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000d70837
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000604167
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000081a6c0
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44759
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822de9
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1db47
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a453cc
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817dea
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e50
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d021
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817efb
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000787056
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822e64
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000008227f7
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000078548b
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817b9c
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6e4f9
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5b139
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000065e527
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000795105
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e31e
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000008174cf
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822e4d
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000818108
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842beb3
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000754db3
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bd10
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5dad2
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842c005
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bcdd
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1cfe4
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1c861
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819844
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817134
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9a4
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e15
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000794465
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000792c1d
     0.02%  G1 Refine#0      libjvm.so           [.] 0x000000000064d028
     0.02%  G1 Refine#1      libjvm.so           [.] 0x000000000064d034
     0.02%  G1 Refine#0      libjvm.so           [.] 0x000000000080ed79
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d0fb
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7aaa0
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e92
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000004743df
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b791
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba27
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822693
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000793049
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822ab1
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000787072
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6e51b
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fd96
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5d185
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7aada
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c6001a
     0.02%  G1 Refine#0      libjvm.so           [.] 0x00000000007931f5
     0.02%  GC Thread#0      libc-2.30.so        [.] __clock_gettime
     0.02%  java             libjvm.so           [.] 0x0000000000c7d814
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d7b8
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000004743dc
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bcb9
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8fc41
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c178db
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000482a05
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a453f5
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822ff4
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000005cd63b
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000823010
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817a1e
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000753294
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000792c12
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5f670
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c684293f1
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d17e
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000007ba7e8
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007852ab
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000007bbedf
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842c03c
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d58d
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6096933e
     0.02%  java             libjvm.so           [.] 0x00000000007f57eb
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000055d6a4
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822e7d
     0.02%  GC Thread#1      libjvm.so           [.] 0x00000000007954f1
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000008174e1
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817159
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000790664
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817fac
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842c398
     0.02%  G1 Conc#0        libjvm.so           [.] 0x000000000080ecee
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785230
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000074a4db
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c60037
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000007bbebd
     0.02%  GC Thread#3      libjvm.so           [.] 0x000000000078540d
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000782d30
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c16d0a
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60974c4f
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000081ac2c
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6097458a
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000005cd80f
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000795168
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bb0a
     0.02%  G1 Refine#1      libjvm.so           [.] 0x000000000064d02e
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60974582
     0.02%  java             libjvm.so           [.] 0x00000000008246c7
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786f4b
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c609692e0
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000747020
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000790669
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000736747
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786f68
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000748033
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bb84
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60966519
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000792bd1
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f69f
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f6b6
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822ff0
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44e87
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000782ca3
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60969f90
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007851e9
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000d6e3bf
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8fa01
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000790664
     0.02%  G1 Refine#0      libjvm.so           [.] 0x000000000079448e
     0.02%  G1 Refine#0      libjvm.so           [.] 0x00000000007931da
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a4476f
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1c844
     0.02%  java             libjvm.so           [.] 0x00000000005adf04
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c609609c0
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60969c60
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1c055
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60978cbb
     0.02%  G1 Conc#0        libjvm.so           [.] 0x00000000007953a6
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6096b996
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c68428d80
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60960840
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000603e03
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817f02
     0.02%  G1 Refine#0      libjvm.so           [.] 0x000000000064d042
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60960861
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c609606ae
     0.02%  GC Thread#1      libjvm.so           [.] 0x00000000007954bf
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000782cbc
     0.02%  java             libjvm.so           [.] 0x0000000000863bf0
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000081713f
     0.02%  java             [vdso]              [.] 0x0000000000000983
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60974c0a
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1d419
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000747fbc
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6097e917
     0.02%  java             libc-2.30.so        [.] __strlen_avx2
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6096b06d
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1cdfb
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c68428a7b
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1b41c
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60969f83
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000787056
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000005cb6a1
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000735e36
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000736778
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000790611
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842bb50
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007852b8
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000785716
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000795a67
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c6004a
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000787072
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786fa3
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000785310
     0.02%  G1 Conc#0        libjvm.so           [.] 0x000000000074728c
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b74d
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c609786ae
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000782ebd
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000795080
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000758276
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000790715
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d83e
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000785209
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6096553b
     0.02%  G1 Conc#0        libjvm.so           [.] 0x000000000080ecc9
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007954df
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000747087
     0.02%  java             libjvm.so           [.] 0x00000000007eb562
     0.02%  GC Thread#1      libjvm.so           [.] 0x00000000007852b8
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f8d0
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000782c80
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000786fb0
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1b13c
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007852b5
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000785c53
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786f2d
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786fcb
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000747032
     0.02%  java             libjvm.so           [.] 0x0000000000c68af5
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000795a2a
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000782dd3
     0.02%  GC Thread#1      libjvm.so           [.] 0x00000000007851e9
     0.02%  GC Thread#2      libjvm.so           [.] 0x000000000078570d
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6096b989
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000782f40
     0.02%  GC Thread#3      libjvm.so           [.] 0x000000000078528d
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000004741fd
     0.02%  GC Thread#0      libjvm.so           [.] 0x00000000007851ff
     0.02%  java             libjvm.so           [.] 0x00000000006605f4
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000787088
     0.02%  java             libjvm.so           [.] 0x0000000000ca03e6
     0.02%  java             libjvm.so           [.] 0x0000000000d147a0
     0.02%  java             libjvm.so           [.] 0x0000000000d147aa
     0.02%  G1 Conc#0        [unknown]           [k] 0xffffffff9ea0015f
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785416
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000782dd6
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000782deb
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000787060
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785310
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786f9d
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f6ce
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60969c61
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c60020
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000004762e0
     0.02%  java             libjvm.so           [.] 0x0000000000bd6e71
     0.02%  GC Thread#1      libjvm.so           [.] 0x00000000007852e8
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000790c1e
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000795542
     0.02%  G1 Refine#0      libjvm.so           [.] 0x000000000080ecc9
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000790683
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786f28
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785477
     0.02%  java             libjvm.so           [.] 0x0000000000c9f850
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000785700
     0.02%  GC Thread#3      libjvm.so           [.] 0x000000000078523a
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000079061c
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60974488
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000786eda
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000795b7a
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822faa
     0.02%  java             libjvm.so           [.] 0x00000000007eb566
     0.02%  G1 Refine#1      libjvm.so           [.] 0x0000000000735e15
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60965732
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a79fa4
     0.02%  java             libjvm.so           [.] 0x0000000000b7a60f
     0.02%  C1 CompilerThre  libc-2.30.so        [.] __vfprintf_internal
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000795136
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000073b097
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000786f3c
     0.02%  G1 Conc#0        libjvm.so           [.] 0x00000000007470ba
     0.02%  G1 Conc#0        libjvm.so           [.] 0x000000000074708a
     0.02%  G1 Conc#0        libjvm.so           [.] 0x00000000005bcb18
     0.02%  java             libjvm.so           [.] 0x0000000000c6a4f7
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7aa9c
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000790625
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000795a00
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000074a59f
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000787084
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000782d55
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000743526
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000782d8f
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x00000000007066fa
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1d3ec
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000786fc4
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000786f51
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007851e8
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000782dbd
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000785317
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000795644
     0.02%  GC Thread#2      libjvm.so           [.] 0x00000000007854ad
     0.02%  java             libjvm.so           [.] 0x00000000008246cc
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4fa
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000782de0
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786f42
     0.02%  GC Thread#3      libjvm.so           [.] 0x00000000007853b2
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000785410
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e846
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000790d86
     0.02%  java             libjvm.so           [.] 0x00000000005a88ae
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000785304
     0.02%  GC Thread#0      libjvm.so           [.] 0x00000000007852b5
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000079067c
     0.02%  GC Thread#0      [vdso]              [.] 0x0000000000000983
     0.02%  GC Thread#0      libjvm.so           [.] 0x000000000078705e
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1ce62
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000782eeb
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000785455
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000786f51
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000785416
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000795542
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000790b87
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000079551d
     0.02%  G1 Conc#0        libjvm.so           [.] 0x0000000000758349
     0.02%  GC Thread#3      libjvm.so           [.] 0x00000000007854b0
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1db9d
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785304
     0.02%  java             libjvm.so           [.] 0x0000000000b3803e
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786f6f
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000785230
     0.02%  java             libjvm.so           [.] 0x0000000000ca05b0
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785709
     0.02%  GC Thread#3      libjvm.so           [.] 0x00000000007851de
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1b427
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000795542
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000782de7
     0.02%  GC Thread#2      libjvm.so           [.] 0x000000000078548b
     0.02%  G1 Refine#1      libjvm.so           [.] 0x0000000000792c32
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000786ef5
     0.02%  GC Thread#0      libjvm.so           [.] 0x00000000007851e9
     0.02%  G1 Refine#0      libjvm.so           [.] 0x0000000000793421
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000736740
     0.02%  GC Thread#3      libjvm.so           [.] 0x00000000007853ae
     0.02%  java             [JIT] tid 29344     [.] 0x00007f7c60f1db2f
     0.02%  GC Thread#0      libjvm.so           [.] 0x00000000007853fd
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a867f4
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a867c1
     0.02%  GC Thread#1      libjvm.so           [.] 0x000000000078706a
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000790631
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000785427
     0.02%  java             libjvm.so           [.] 0x0000000000d14b4a
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000795642
     0.02%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f830
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000782dc3
     0.02%  G1 Refine#0      libjvm.so           [.] 0x00000000007931c1
     0.02%  GC Thread#1      libjvm.so           [.] 0x0000000000786f3c
     0.02%  GC Thread#0      libjvm.so           [.] 0x0000000000790660
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000787060
     0.02%  GC Thread#3      libjvm.so           [.] 0x0000000000795a23
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000790ed3
     0.02%  GC Thread#2      libjvm.so           [.] 0x0000000000782f2e
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000b7a5e8
     0.01%  GC Thread#3      libjvm.so           [.] 0x00000000007851e9
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x000000000050bf80
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000790611
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000735e3c
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000787060
     0.01%  GC Thread#1      [vdso]              [.] 0x0000000000000983
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000782efa
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x00000000004bdae3
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000786f9d
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000793042
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d204
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000790660
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60a45880
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000786ec0
     0.01%  GC Thread#3      libjvm.so           [.] 0x00000000007856a3
     0.01%  java             libjvm.so           [.] 0x0000000000bb074a
     0.01%  GC Thread#3      libjvm.so           [.] 0x00000000007856d6
     0.01%  G1 Refine#0      libjvm.so           [.] 0x00000000006f7437
     0.01%  G1 Conc#0        libjvm.so           [.] 0x00000000007470f5
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842bae6
