# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles:u'
# Event count (approx.): 6897413689
#
# Overhead  Command          Shared Object       Symbol                                                             
# ........  ...............  ..................  ...................................................................
#
     0.17%  G1 Conc#0        libjvm.so           [.] 0x0000000000795118
     0.17%  G1 Conc#0        libjvm.so           [.] 0x00000000007503e4
     0.17%  G1 Conc#0        libjvm.so           [.] 0x00000000007941de
     0.17%  G1 Conc#0        libjvm.so           [.] 0x000000000075833b
     0.17%  G1 Conc#0        libjvm.so           [.] 0x00000000007941cc
     0.17%  java             [JIT] tid 917       [.] 0x00007f15a442468a
     0.17%  G1 Conc#0        libjvm.so           [.] 0x0000000000a0d687
     0.17%  G1 Conc#0        libjvm.so           [.] 0x0000000000795168
     0.17%  java             [JIT] tid 917       [.] 0x00007f15a442473b
     0.17%  G1 Refine#0      libjvm.so           [.] 0x0000000000793410
     0.16%  G1 Conc#0        libjvm.so           [.] 0x0000000000795179
     0.16%  GC Thread#0      libjvm.so           [.] 0x0000000000782eb0
     0.16%  java             [JIT] tid 917       [.] 0x00007f15a4424700
     0.16%  G1 Refine#1      libjvm.so           [.] 0x000000000080ecc1
     0.16%  G1 Conc#0        libjvm.so           [.] 0x0000000000795075
     0.16%  G1 Conc#0        libjvm.so           [.] 0x0000000000795388
     0.15%  GC Thread#3      [unknown]           [k] 0xffffffff9ea00b07
     0.15%  java             [JIT] tid 917       [.] 0x00007f15a44246d2
     0.15%  G1 Conc#0        libjvm.so           [.] 0x00000000007950ab
     0.15%  java             libjvm.so           [.] 0x0000000000793400
     0.15%  G1 Conc#0        libjvm.so           [.] 0x000000000079425b
     0.15%  GC Thread#2      [unknown]           [k] 0xffffffff9ea00b07
     0.14%  G1 Refine#0      libjvm.so           [.] 0x000000000080ecb1
     0.14%  G1 Conc#0        libjvm.so           [.] 0x0000000000747f8d
     0.14%  GC Thread#2      libjvm.so           [.] 0x0000000000782eb4
     0.14%  java             [JIT] tid 917       [.] 0x00007f15a4424708
     0.14%  G1 Conc#0        libjvm.so           [.] 0x0000000000794254
     0.14%  G1 Refine#0      libjvm.so           [.] 0x000000000080ecc5
     0.14%  G1 Conc#0        libjvm.so           [.] 0x00000000007941d6
     0.14%  G1 Refine#2      libjvm.so           [.] 0x0000000000793435
     0.14%  G1 Conc#0        libjvm.so           [.] 0x0000000000747337
     0.14%  GC Thread#1      libjvm.so           [.] 0x0000000000782ea0
     0.14%  GC Thread#1      libjvm.so           [.] 0x0000000000782eb4
     0.14%  GC Thread#3      libjvm.so           [.] 0x0000000000790673
     0.14%  GC Thread#1      libjvm.so           [.] 0x0000000000782eb0
     0.13%  G1 Conc#0        libjvm.so           [.] 0x0000000000795207
     0.13%  G1 Conc#0        libjvm.so           [.] 0x0000000000795128
     0.13%  G1 Conc#0        libjvm.so           [.] 0x00000000007941f5
     0.13%  java             [JIT] tid 917       [.] 0x00007f15a442520b
     0.13%  G1 Conc#0        libjvm.so           [.] 0x00000000005bcaea
     0.13%  java             [JIT] tid 917       [.] 0x00007f15a442476e
     0.13%  G1 Conc#0        libjvm.so           [.] 0x0000000000747f7b
     0.13%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c87
     0.13%  java             [JIT] tid 917       [.] 0x00007f15a442475a
     0.13%  G1 Refine#1      libjvm.so           [.] 0x0000000000793410
     0.13%  G1 Conc#0        libjvm.so           [.] 0x000000000080ecb1
     0.13%  G1 Conc#0        libjvm.so           [.] 0x000000000079513f
     0.13%  GC Thread#0      libjvm.so           [.] 0x0000000000782d7c
     0.13%  GC Thread#3      libjvm.so           [.] 0x0000000000795a2d
     0.13%  java             [JIT] tid 917       [.] 0x00007f15a442469c
     0.13%  G1 Refine#3      libjvm.so           [.] 0x0000000000793435
     0.13%  G1 Refine#2      libjvm.so           [.] 0x0000000000793431
     0.13%  G1 Conc#0        libjvm.so           [.] 0x0000000000747fbc
     0.12%  java             [JIT] tid 917       [.] 0x00007f15a44246a6
     0.12%  G1 Conc#0        libjvm.so           [.] 0x000000000075828b
     0.12%  G1 Conc#0        libjvm.so           [.] 0x00000000007470e1
     0.12%  G1 Conc#0        libjvm.so           [.] 0x0000000000747039
     0.12%  java             [JIT] tid 917       [.] 0x00007f15a44246e6
     0.12%  GC Thread#0      libjvm.so           [.] 0x0000000000790673
     0.12%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c98
     0.12%  G1 Conc#0        libjvm.so           [.] 0x00000000007950c2
     0.12%  GC Thread#2      libjvm.so           [.] 0x0000000000790673
     0.12%  G1 Conc#0        libjvm.so           [.] 0x000000000064d034
     0.12%  GC Thread#0      libjvm.so           [.] 0x00000000007852e0
     0.12%  G1 Conc#0        libjvm.so           [.] 0x0000000000747179
     0.12%  G1 Refine#1      libjvm.so           [.] 0x0000000000793431
     0.12%  G1 Conc#0        libjvm.so           [.] 0x0000000000795055
     0.12%  G1 Conc#0        libjvm.so           [.] 0x0000000000747139
     0.12%  GC Thread#2      libjvm.so           [.] 0x0000000000782ed1
     0.12%  GC Thread#1      libjvm.so           [.] 0x000000000078524e
     0.12%  G1 Conc#0        libjvm.so           [.] 0x00000000007582f4
     0.12%  G1 Conc#0        libjvm.so           [.] 0x00000000007472fd
     0.12%  G1 Conc#0        libjvm.so           [.] 0x00000000007470f5
     0.12%  GC Thread#2      libjvm.so           [.] 0x0000000000782eb0
     0.12%  G1 Refine#3      libjvm.so           [.] 0x0000000000793431
     0.12%  G1 Conc#0        libjvm.so           [.] 0x000000000074712e
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000758365
     0.11%  G1 Conc#0        libjvm.so           [.] 0x000000000080eda9
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000795080
